,date,年份,月份,海拔高度(m),经度(lon),纬度(lat),平均气温(℃),平均最高气温(℃),平均最低气温(℃),最高气温极值(℃),最低气温极值(℃),平均气温≥18℃的天数,平均气温≥35℃的天数,平均气温≤0℃的天数,平均露点温度(℃),降水量(mm),最大单日降水量(mm),降水天数,平均海平面气压(hPa),最低海平面气压(hPa),平均站点气压(hPa),积雪深度(mm),平均能见度(km),最小能见度(km),最大能见度(km),平均风速(knots),平均最大持续风速(knots),单日最大平均风速(knots),平均最大瞬时风速(knots),最大瞬时风速极值(knots),"高层植被(LAIH,m2/m2)","低层植被(LAIL,m2m2)",10cm湿度(kgm2),40cm湿度(kgm2),100cm湿度(kgm2),200cm湿度(kgm2),土壤蒸发量(W/m2),土壤蒸发量(mm),植被指数(NDVI),径流量(m3/s),径流量(m3),绿植覆盖率,icstore,icstore10,icstore40,icstore100,cp
10,Nov-12,2012,11,1004,115.375,44.125,-9.43,-4.22,-15.79,14,-28.28,0,0,27,-14.17,30.48,11.94,11,1024.99,1010.3,901.01,,26.62,6.12,29.93,7.11,11.15,19.4,,,0,0.71,14.79,42.71,55.02,168.32,0.88,0.92,0.310289389,0.29010418,751950,,29.2395,5.62,-13.15,-25.46,0.029872106
11,Dec-12,2012,12,1004,115.375,44.125,-20.42,-14.81,-26.77,-4.61,-33.61,0,0,31,-24.75,5.59,1.52,7,1033.76,1018.3,903.67,,27.78,19.79,29.93,5.97,9.72,17.5,,,0,0.648,14.42,42.71,55.02,168.32,0.32,0.34,0.056270096,0.21370968,572400,,5.3055,3.23,-37.46,-49.77,-0.009609516
12,Jan-13,2013,1,1004,115.375,44.125,-19.49,-13.07,-26.56,2.39,-33.11,0,0,31,-23.86,3.3,0.76,8,1034.38,1022.1,904.53,,27.7,18.19,29.93,5.56,9.22,15.5,,,0,0.636,14.09,42.71,55.02,168.32,0.37,0.4,0.030546624,0.15700606,420525,,2.9495,2.55,-39.81,-52.12,-0.010988327
13,Feb-13,2013,2,1004,115.375,44.125,-16.67,-10.02,-24.29,0.5,-32.5,0,0,28,-21.69,2.79,1.78,4,1031.93,1014.9,903.81,,28.98,22.05,29.93,6.48,10.9,25.3,,,0,0.651,13.55,42.71,55.02,168.32,0.81,0.78,0.017684887,0.10770089,260550,,2.091,6.47,-40.7,-53.01,-0.01149709
14,Mar-13,2013,3,1004,115.375,44.125,-4.27,1.73,-12.31,11.72,-21.72,0,0,24,-12.77,9.14,3.81,6,1019.96,998.5,901.96,,28.05,22.05,29.93,7.2,13.35,23.3,,,0,0.717,12.85,42.7,55.02,168.32,3.14,3.37,0.334405145,0.23387098,626400,,5.8795,15.6,-36.93,-49.25,0.036061869
15,Apr-13,2013,4,1004,115.375,44.125,2.07,8.22,-5.26,22.61,-10.5,0,0,14,-9.63,19.56,3.81,10,1015.4,1001.9,897.37,,27.95,18.19,29.93,8.07,14.45,25.3,,,0,0.727,11.82,42.6,54.96,168.32,4.81,4.99,0.321543408,0.34166667,885600,,14.8175,-2.18,-28.03,-40.39,0.032707974
16,May-13,2013,5,1004,115.375,44.125,16.08,22.71,6.54,30.22,-3.78,10,0,0,-2.79,11.18,4.06,6,1006.14,995.5,894.49,,28.18,24.14,29.93,8.55,14.92,25.3,,,0,0.739,12.73,40.66,54.08,168.32,11.62,12.45,0.38585209,0.20866935,558900,,0.1705,20.47,-41.93,-55.35,0.050681734
17,Jun-13,2013,6,1004,115.375,44.125,18.72,24.79,11.97,30.22,3.61,19,0,0,8.21,65.53,12.19,17,1003.81,995.4,893.35,,28.12,20.28,29.93,7.31,12.24,19.4,,,0,0.827,19.25,48.64,54.08,168.29,37.17,38.54,0.790996785,0.30833334,799200,,22.436,61,-21.65,-27.09,0.233147962
18,Jul-13,2013,7,1004,115.375,44.125,21.38,27.31,14.4,33.5,11,28,0,0,12.23,101.35,22.35,20,1000.64,993.7,891.52,,28.9,23.17,29.93,6.27,10.73,21.4,,,0,0.964,20.34,54.64,62.91,168.22,36.64,39.26,0.676848875,0.3608871,966600,,52.1975,49.07,7.45,-0.82,0.169647957
19,Aug-13,2013,8,1004,115.375,44.125,20.04,26.36,12.19,33.72,3.89,22,0,0,9.28,68.07,43.43,12,1004.21,995.6,894.21,,28.92,21.89,29.93,6.81,12.23,23.3,,,0,0.983,17.61,48.09,60.95,168.11,20.28,21.73,0.765273312,0.5498992,1472849.9,,51.32,0.98,-1.75,-14.61,0.218010153
20,Sep-13,2013,9,1004,115.375,44.125,13.66,20.42,4.37,27.72,-3,4,0,0,0.48,7.37,4.83,3,1013.89,1000.7,907.05,,29.11,23.82,29.93,7.15,11.34,21.4,,,0,0.847,14.49,38.27,55.29,168.04,9.18,9.51,0.644694534,0.39114583,1013850,,7.31,0.62,-40.41,-57.43,0.153472979
21,Oct-13,2013,10,1004,115.375,44.125,4.8,12.08,-3.63,27.39,-9.5,0,0,7,-5.58,5.59,4.06,4,1022.89,1003,908.33,,27.87,21.57,29.93,6.55,11.54,17.5,,,0,0.738,13.56,35.33,52.83,168,5.5,5.9,0.454983923,0.29889113,800550,,3.1405,3.17,-35.64,-53.14,0.073361421
22,Nov-13,2013,11,1004,115.375,44.125,-4.59,1.63,-11.76,11.39,-21.5,0,0,23,-12.57,3.56,1.78,7,1025.27,1015.7,903.32,10.16,28.61,23.98,29.93,6.74,11.08,21.4,,,0,0.71,11.92,35.23,52.75,167.97,1.96,2.03,0.392282958,0.23671874,613575,,1.9,5.11,-33.7,-51.22,0.0526447
23,Dec-13,2013,12,1004,115.375,44.125,-14.29,-7.84,-21,3.28,-27.72,0,0,31,-19.62,4.57,1.52,6,1031.85,1013.4,904.76,,27.31,16.42,29.93,5.37,8.9,17.5,,,0,0.648,10.98,35.22,52.76,167.96,0.38,0.4,0.366559486,0.17464718,467775,,4.3125,30.49,-31.05,-48.59,0.044973481
24,Jan-14,2014,1,1004,115.375,44.125,-12.68,-5.22,-21.23,3,-31,0,0,31,-20.59,30.73,29.97,2,1029.22,1013.4,903.19,,18.67,7.89,25.75,5.99,11.15,23.3,,,0,0.636,10.55,35.22,52.76,167.96,0.63,0.67,0.310289389,0.12852822,344250,,30.1245,2.7,-5.16,-22.7,0.029872106
25,Feb-14,2014,2,1004,115.375,44.125,-12.2,-4.16,-20.41,10,-27.11,0,0,26,-20.02,2.54,0.76,5,1031.69,1011.3,905.6,,17.45,3.7,28.81,5.46,9.72,17.5,,,0,0.651,9.97,35.22,52.76,167.96,0.43,0.42,0.327974277,0.04129464,99900,,2.207,-15.91,-33.1,-50.64,0.034369868
26,Mar-14,2014,3,1004,115.375,44.125,-0.97,7.18,-11.33,22.28,-22.61,0,0,13,-15.14,2.54,1.27,4,1022.01,1005.8,901.91,,18.17,9.01,25.43,6,11.42,21.4,,,0,0.717,13.96,36.19,52.75,167.96,13.5,14.46,0.316720257,0.43245968,1158300,,-12.947,-15.82,-48.11,-64.67,0.031481312
27,Apr-14,2014,4,1004,115.375,44.125,9.63,17.21,-0.07,27.11,-9.61,0,0,1,-8.48,5.84,3.81,4,1016.16,1003.7,901,,18.28,10.3,25.27,7.78,13.53,21.4,,,0,0.727,15.5,42.33,52.56,167.96,19.41,20.12,0.321543408,0.16458334,426600,,-17.122,35.96,-56.61,-66.84,0.032707974
28,May-14,2014,5,1004,115.375,44.125,12.32,18.26,4.07,35,-6.72,7,0,1,-0.18,62.48,17.78,16,1007.68,996.3,894.39,,22.14,10.14,29.93,8.49,14.73,21.4,,,0,0.739,16.73,41.97,52.24,167.96,23.61,25.29,0.405144695,0.24294357,650700,,37.4235,35.63,-4.78,-15.05,0.056660953
29,Jun-14,2014,6,1004,115.375,44.125,18.41,24.62,11.57,30.5,5.11,17,0,0,9.33,66.04,27.69,11,1006.42,999.4,895.58,,24.51,16.58,29.93,6.27,10.87,17.5,,,0,0.827,18.29,49.67,53.89,167.92,27.83,28.85,0.556270096,0.37916666,982800,,32.191,41.95,-12.48,-16.7,0.112872799
30,Jul-14,2014,7,1004,115.375,44.125,22.27,29.26,14.33,37.11,9.78,28,0,0,11.48,63.5,17.27,15,1002.92,998.1,900.7,,22.58,9.33,28.81,6.47,10.79,17.5,,,0,0.964,16.7,44.67,55.34,167.88,21.6,23.14,0.726688103,0.359375,962550,,41.7085,18.72,-4.31,-14.98,0.196206656
31,Aug-14,2014,8,1004,115.375,44.125,19.72,26.68,11.88,34.22,5.78,22,0,0,7.99,27.94,5.08,13,1008.69,1002,898.08,,21.9,12.55,27.2,5.72,9.84,19.4,,,0,0.983,14.85,35.53,49.35,167.83,10.33,11.07,0.620578778,0.32610887,873450,,26.0775,20.06,-18.66,-32.48,0.141835692
32,Sep-14,2014,9,1004,115.375,44.125,13.45,20.63,4.4,29.89,-3.89,7,0,0,1.06,23.37,8.89,10,1014.88,1004.8,901.31,,22,17.06,28.16,6.26,10.37,17.5,,,0,0.847,12.84,29.71,45.27,167.79,5.13,5.32,0.575562701,0.27083334,702000,,24.2545,23.35,-11.66,-27.22,0.121245541
33,Oct-14,2014,10,1004,115.375,44.125,5.96,13.37,-1.72,23.39,-11.72,0,0,4,-4.53,34.29,17.53,7,1020.73,1009.3,906.64,,20.02,8.37,26.72,5.83,10.28,17.5,,,0,0.738,14.98,33.74,44.44,167.75,8.21,8.8,0.435691318,0.26940525,721575.06,,24.0395,-1.62,-8.25,-18.95,0.06668221
34,Nov-14,2014,11,1004,115.375,44.125,-4.23,2.56,-11.91,10.22,-20.28,0,0,25,-13.51,1.02,0.51,2,1025.64,1009.7,903.85,,21.08,14.48,28.49,6.17,10.62,19.4,,,0,0.71,13.72,35.79,44.52,167.72,3.76,3.9,0.366559486,0.20677084,535950,,-3.6625,6.59,-38.67,-47.4,0.044973481
35,Dec-14,2014,12,1004,115.375,44.125,-14.58,-8.86,-20.86,-0.11,-25.61,0,0,31,-20.87,5.33,1.02,9,1032.15,1020.7,905,,22.13,14.16,29.29,5.75,9.54,15.5,,,0,0.648,11.73,35.81,44.52,167.72,0.69,0.73,0.353697749,0.15297379,409725,,4.8895,153.26,-31.21,-39.92,0.041318514
36,Jan-15,2015,1,1004,115.375,44.125,-14.32,-7.32,-22.05,1.39,-27.39,0,0,31,-19.74,153.16,59.94,12,1033.3,1018,906.06,30.48,18.75,7.56,29.29,5.14,8.72,15.5,,,0,0.636,11.17,35.81,44.52,167.72,0.43,0.46,0.088424437,0.085685484,229500,,152.784,34.64,116.89,108.18,-0.00720859
37,Feb-15,2015,2,1004,115.375,44.125,-11.32,-4.43,-18.87,5.72,-29.11,0,0,28,-17.27,34.8,20.07,9,1028.66,1013.4,903.37,,18.02,8.69,28.32,5.35,9.09,21.4,,,0,0.651,10.77,35.81,44.52,167.72,0.58,0.56,0.290996785,0,0,,34.3,-0.19,-1.57,-10.28,0.025225132
38,Mar-15,2015,3,1004,115.375,44.125,-2.06,5.08,-11.28,19.11,-22.28,0,0,19,-16.83,0.51,0.51,1,1022.59,1005.9,902.01,,20.28,8.53,27.04,7.09,13.16,21.4,,,0,0.717,9.93,35.79,44.52,167.72,1.44,1.54,0.303858521,0.47177422,1263600,,-0.895,18.56,-36.82,-45.55,0.028293008
39,Apr-15,2015,4,1004,115.375,44.125,6.6,12.49,-1.68,28.89,-11.89,4,0,5,-7.78,36.58,14.48,8,1015.75,1002.3,899.42,23.62,21.69,10.78,29.77,8.02,13.67,21.4,,,0,0.727,15.31,35.63,44.48,167.72,12.19,12.64,0.303858521,0.9458334,2451600,,23.237,30.67,-11.69,-20.54,0.028293008
40,May-15,2015,5,1004,115.375,44.125,12.66,19.16,3.83,30,-5.28,9,0,0,-2.87,45.97,18.03,11,1007.04,994.3,894.03,,22.6,14.32,27.68,8.46,14.66,23.3,,,0,0.739,14.55,34.71,44.27,167.72,14.99,16.06,0.379421222,0.22681451,607500,,30.606,119.19,-4.8,-14.36,0.048748876
41,Jun-15,2015,6,1004,115.375,44.125,17.1,22.62,10.39,28.72,5.78,12,0,0,7.94,143,65.53,17,1005.01,997.2,893.85,,22.61,14.16,28.81,6.13,10.95,17.5,,,0,0.827,16.82,39.39,44.18,167.7,20.78,21.54,0.631832797,0.34791666,901800,,119.0955,57.61,82.07,77.28,0.147213738
42,Jul-15,2015,7,1004,115.375,44.125,21.53,27.44,14.87,33.5,6,27,0,0,12.33,76.71,11.94,17,1004.45,998.4,894.93,,21.47,14.16,28.81,6.34,10.84,23.3,,,0,0.964,17.13,42.8,44.62,167.65,17.54,18.79,0.784565916,0.35433468,949050,,56.012,37.03,15.12,13.3,0.229318348
43,Aug-15,2015,8,1004,115.375,44.125,19.63,25.92,11.93,33.22,9.22,23,0,0,9.86,46.48,25.4,8,1008.45,998.8,897.84,,21.73,14.81,27.2,5.25,9.29,15.5,,,0,0.983,15.47,38.95,44.45,167.61,10.37,11.11,0.733118971,0.38961694,1043550,,37.5075,34.43,-3.58,-9.08,0.199765304
44,Sep-15,2015,9,1004,115.375,44.125,13.83,19.77,6.18,26.22,0.11,4,0,0,4.77,48.77,16,10,1015.67,1006.8,902.22,,23.69,9.5,28.97,6.04,10.57,21.4,,,0,0.847,17.31,39.19,43.57,167.58,12.06,12.5,0.620578778,0.33854166,877500,,36.605,7.59,-2.92,-7.3,0.141835692
45,Oct-15,2015,10,1004,115.375,44.125,5.12,11.45,-2.58,23.72,-9,0,0,7,-5.29,16,7.11,4,1021.49,1012.2,903.95,,22.74,12.55,29.93,6.44,10.97,25.3,,,0,0.738,15.55,46.53,46.3,167.56,9.49,10.17,0.435691318,0.3485383,933524.94,,0.617,155.94,-40.7,-40.47,0.06668221
46,Nov-15,2015,11,1004,115.375,44.125,-7.19,-2.06,-13.42,19.11,-28.22,0,0,24,-13.01,156.97,70.1,15,1030.64,1014.3,906.88,35.56,16.13,8.05,25.59,5.25,8.88,17.5,,,0,0.71,14.55,44.55,47.79,167.53,1.96,2.03,0.353697749,0.24713542,640575,,154.804,269.17,110.39,107.15,0.041318514
47,Dec-15,2015,12,1004,115.375,44.125,-13.69,-9.11,-19.66,-0.39,-32.61,0,0,31,-17.39,270,89.92,13,1033.05,1015.3,906.12,88.9,15.84,5.15,29.77,5.56,9.15,17.5,,,0,0.648,14.73,44.44,47.89,167.53,0.6,0.65,0.062700965,0.18371975,492075,,269.2925,4.31,224.91,221.46,-0.009189545
48,Jan-16,2016,1,1004,115.375,44.125,-23.33,-18.58,-29.33,-6.22,-38.39,0,0,31,-27.26,4.32,1.27,4,1039.73,1024.3,907.46,139.7,19.31,7.08,29.29,5.34,8.41,13.6,,,0,0.636,14.11,44.44,47.89,167.53,0.59,0.63,0,0.13482863,361125,,3.783,9.47,-40.75,-44.2,-0.012
49,Feb-16,2016,2,1004,115.375,44.125,-15.27,-10.02,-22.64,4,-27.89,0,0,29,-19.73,9.65,6.1,6,1032.61,1015.4,905.06,149.86,22.34,8.53,29.93,5.84,9.92,15.5,,,0,0.652,13.34,44.44,47.89,167.53,0.94,0.95,0,0.03987069,99900,,8.8155,91.79,-35.74,-39.19,-0.012
50,Mar-16,2016,3,1004,115.375,44.125,-2.12,3.26,-9.65,20.39,-21.61,0,0,19,-12.18,93.47,29.97,10,1023.06,996.5,905.05,20.32,21.2,6.6,27.84,6.97,11.78,23.3,,,0,0.717,12.26,44.43,47.89,167.53,2.58,2.76,0.303858521,0.8104839,2170800,,90.8765,2.84,46.28,42.82,0.028293008
51,Apr-16,2016,4,1004,115.375,44.125,7.03,12.9,-1.45,26.22,-6.61,1,0,2,-9.51,6.1,2.54,5,1011.55,995.9,895.91,,23.08,11.59,29.61,8.2,14.64,23.3,,,0,0.727,11.05,44.07,47.82,167.53,4.31,4.47,0.303858521,0.1875,486000,,2.0295,-11.37,-42.44,-46.19,0.028293008
52,May-16,2016,5,1004,115.375,44.125,13.94,19.79,5.07,31.72,-1.72,6,0,0,-4.29,16.76,13.21,7,1008.25,1000.3,895.54,,23.87,15.45,29.93,9.67,15.35,23.3,,,0,0.739,15.43,42.39,47.5,167.53,22.17,23.75,0.347266881,0.14516129,388800,,-6.635,51.24,-49.38,-54.49,0.039536192
53,Jun-16,2016,6,1004,115.375,44.125,18.08,24.22,10.33,30.78,3.28,15,0,0,6.39,77.72,19.3,17,1004.73,996.5,893.96,,24.25,17.06,29.93,6.33,12.11,19.4,,,0,0.827,17,43.5,47.6,167.5,24.02,24.91,0.461414791,0.18802084,487350,,52.01,28.93,9.31,5.21,0.075648039
54,Jul-16,2016,7,1004,115.375,44.125,23.41,29.27,16.54,35.89,9.89,29,0,0,12.43,51.31,16,12,1003.41,995.4,894.62,,23.56,16.09,29.93,5.95,11.11,21.4,,,0,0.964,17.33,45.2,48.39,167.46,20.58,22.05,0.588424437,0.27570564,738450,,27.8335,51.95,-15.94,-19.13,0.126977905
55,Aug-16,2016,8,1004,115.375,44.125,22.53,28.58,14.22,39.39,6.72,26,0,0,9.14,54.36,16.76,8,1007.42,998.4,897.96,,25.11,14.65,29.93,6,10.47,19.4,,,0,0.983,12.85,33.21,45.51,167.42,6.43,6.89,0.601286174,0.22731856,608850,,55.8615,17.28,14.26,1.96,0.132830699
56,Sep-16,2016,9,1004,115.375,44.125,13.64,19.41,6.71,24.5,-3,2,0,0,6.37,30.48,6.1,12,1014.42,1002.2,900.95,,24.77,13.36,29.93,5.11,9.46,17.5,,,0,0.847,16.22,33.22,43.44,167.39,9.48,9.83,0.536977492,0.25,648000,,21.811,45.78,-12.57,-22.79,0.104771022
57,Oct-16,2016,10,1004,115.375,44.125,3.26,9.23,-3.92,26.72,-16.28,0,0,10,-4.46,57.15,27.69,9,1022.61,1007.3,904.22,20.32,21.81,14.32,29.93,5.79,10.16,19.4,,,0,0.738,17.79,46.72,44.77,167.38,9.15,9.8,0.418006431,0.5703125,1527525,,39.9805,39.9,0.63,2.58,0.060797634
58,Nov-16,2016,11,1004,115.375,44.125,-6.52,-1.19,-13.03,13.22,-20.78,0,0,26,-14.41,44.45,9.91,10,1026.24,1007.5,906.38,10.16,24,11.91,29.93,6.32,10.5,17.5,,,0,0.71,16.33,46.76,45.86,167.37,5.8,6.01,0.353697749,0.29114583,754650,,37.774,482.95,-8.32,-7.42,0.041318514
59,Dec-16,2016,12,1004,115.375,44.125,-12.73,-6.92,-20.32,2.72,-28.89,0,0,31,-17.87,481.33,70.1,20,1032.45,1019.9,906.07,40.64,19.62,7.08,28.97,5.37,9.28,19.4,,,0,0.648,13.25,46.76,45.86,167.37,1.36,1.46,0.347266881,0.21144153,566325,,480.332,891.89,433.11,434.01,0.039536192
60,Jan-17,2017,1,1004,115.375,44.125,-15.84,-9.6,-23.03,3.5,-30.39,0,0,31,-21.06,891.79,59.94,26,1034.27,1023.8,909.39,40.64,21.2,11.59,29.93,5.3,9.22,17.5,,,0,0.636,12.48,46.76,45.86,167.37,0.62,0.67,0.081993569,0.15272178,409050,,891.2355,202.17,844.36,845.26,-0.007748989
61,Feb-17,2017,2,1004,115.375,44.125,-10.19,-3.78,-18.68,8.11,-27,0,0,28,-17.89,202.44,39.88,11,1030.42,1014.5,905.45,15.24,24.3,12.55,29.93,5.73,9.85,19.4,,,0,0.651,11.71,46.76,45.86,167.37,1.07,1.04,0.303858521,0.09933036,240300,,201.5155,6.84,154.64,155.54,0.028293008
62,Mar-17,2017,3,1004,115.375,44.125,-2.81,3.63,-11.44,10.61,-19.78,0,0,24,-13.73,8.38,2.29,7,1025.06,1016.4,903.95,,23.88,13.84,28.97,5.63,10.53,15.5,,,0,0.717,11.1,46.75,45.86,167.37,2.01,2.15,0.303858521,0.14012097,375300,,6.326,2.54,-40.52,-39.63,0.028293008
63,Apr-17,2017,4,1004,115.375,44.125,7.51,14.06,-2,23.72,-7.28,0,0,0,-8.48,6.6,3.05,7,1012.84,1002.1,897.21,,24.72,16.09,28.97,7.42,13.86,21.4,,,0,0.727,11.06,46.28,45.81,167.37,3.95,4.1,0.303858521,0.56458336,1463400,,2.7575,-2.7,-43.78,-43.31,0.028293008
64,May-17,2017,5,1004,115.375,44.125,15.53,22.13,6.16,35.72,-2.39,12,0,0,-4.63,6.6,2.03,5,1008.58,998.4,896.42,,25.6,9.5,29.93,9.26,15.16,23.3,,,0,0.739,11.81,43.85,45.61,167.37,7.98,8.55,0.316720257,0.17540322,469800,,-0.809,27.7,-45.8,-47.56,0.031481312
65,Jun-17,2017,6,1004,115.375,44.125,20.21,26.31,11.88,35.5,5.78,21,0,0,4.28,39.88,9.91,12,1005.93,1000.3,895.74,,27.83,21.89,29.93,6.11,11.79,25.3,,,0,0.827,13.29,38.16,45.5,167.33,10.32,10.7,0.353697749,0.15729167,407700,,31.6265,19.96,-8.98,-16.32,0.041318514
66,Jul-17,2017,7,1004,115.375,44.125,24.57,30.38,17.02,37.72,13.28,30,0,0,11.28,36.58,10.16,10,1002.18,993.8,893.95,,27.78,15.61,29.93,6.46,10.72,15.5,,,0,0.964,15.33,36.15,44.29,167.29,13.61,14.58,0.512861736,0.17237903,461700,,23.5865,43.3,-14.15,-22.29,0.095024845
67,Aug-17,2017,8,1004,115.375,44.125,19.98,25.67,13.01,31.72,3.5,24,0,0,9.67,56.64,9.65,12,1006.29,995.5,902.69,,26.89,17.54,29.93,5.68,10.04,17.5,,,0,0.983,16.83,38.47,43.26,167.28,11.05,11.84,0.638263666,0.17288306,463050,,44.36,7.93,6.33,1.54,0.150328305
68,Sep-17,2017,9,1004,115.375,44.125,15.34,22.42,5.69,30.72,-4.5,10,0,0,-0.12,12.19,7.87,8,1010.69,1000.4,898.31,,27.7,20.6,29.93,7.02,12.64,25.3,,,0,0.847,14.24,35.2,42.71,167.28,6.61,6.85,0.506430868,0.14765625,382725,,7.64,7.27,-29.86,-37.37,0.092497369
69,Oct-17,2017,10,1004,115.375,44.125,4.86,10.63,-2.81,20.5,-9.39,0,0,3,-6.63,10.92,7.37,2,1024.88,1011.7,906.9,,24.01,9.17,29.93,5.59,10.4,17.5,,,0,0.738,13.52,33.85,42.53,167.28,4.08,4.37,0.398713826,0.11718749,313875,,7.4095,206.92,-27.3,-35.98,0.054637772
70,Nov-17,2017,11,1004,115.375,44.125,-7.77,-2.48,-15.18,13.72,-23.61,0,0,24,-15.96,207.52,50.04,11,1026.73,1013.2,903.22,30.48,25.14,11.27,29.93,6.81,11.21,19.4,,,0,0.71,12.13,34.05,42.64,167.28,1.92,1.99,0.366559486,0.015104166,39150,,205.5605,205.68,171.48,162.89,0.044973481
71,Dec-17,2017,12,1004,115.375,44.125,-14.97,-9.83,-21.43,-2.72,-29.89,0,0,31,-20.86,205.49,29.97,15,1032.93,1020,905.49,20.32,23.93,9.33,29.93,5.32,9.85,17.5,,,0,0.648,11.21,34.05,42.65,167.28,0.69,0.73,0.094855305,0,0,,204.89,414.09,170.71,162.11,-0.006638083
72,Jan-18,2018,1,1004,115.375,44.125,-18.81,-13.25,-25.83,-3.39,-33.89,0,0,31,-24.66,414.02,39.88,20,1034.07,1018.3,904.64,37.34,23.42,13.04,29.93,6.02,10.34,15.5,,,0,0.636,10.69,34.05,42.65,167.28,0.42,0.45,0.075562701,0,0,,413.648,298.68,379.52,370.92,-0.008259282
73,Feb-18,2018,2,1004,115.375,44.125,-14.42,-8.41,-22.18,3.72,-29.39,0,0,28,-21.99,298.7,59.94,18,1028.84,1012.5,902.14,43.94,22.88,6.6,29.77,5.77,10.41,15.5,,,0,0.651,10.26,34.05,42.65,167.28,0.46,0.45,0.321543408,0,0,,298.3145,29,264.2,255.6,0.032707974
